tenure_months,contract,internet_service,monthly_charges,churn
6,Month-to-month,Fiber optic,47.22,1
56,Month-to-month,DSL,34.85,0
47,One year,No,13.07,0
32,Month-to-month,Fiber optic,61.96,1
31,Month-to-month,DSL,48.6,0
62,Month-to-month,DSL,,0
6,One year,No,12.92,0
50,Two year,Fiber optic,60.52,0
14,One year,Fiber optic,83.0,0
6,Two year,Fiber optic,90.46,1
38,One year,DSL,60.07,0
71,One year,DSL,25.24,0
53,Month-to-month,Fiber optic,84.27,0
55,One year,Fiber optic,92.24,0
52,Month-to-month,Fiber optic,49.65,0
57,Month-to-month,DSL,57.99,0
37,Month-to-month,No,27.7,0
9,Two year,Fiber optic,66.07,1
61,One year,DSL,46.27,0
32,Two year,DSL,50.32,0
36,Two year,DSL,58.89,0
27,Two year,DSL,58.27,0
13,Month-to-month,Fiber optic,51.92,0
67,Two year,DSL,37.22,0
57,Two year,DSL,46.12,0
47,Two year,No,43.87,0
29,Month-to-month,DSL,12.27,0
60,Month-to-month,Fiber optic,62.67,0
39,Two year,DSL,26.67,0
32,Month-to-month,DSL,28.57,0
32,Month-to-month,Fiber optic,81.83,1
16,Month-to-month,No,18.62,0
6,Month-to-month,Fiber optic,42.0,1
40,Month-to-month,No,23.1,1
64,Two year,Fiber optic,94.43,0
4,Two year,Fiber optic,48.32,1
62,Two year,DSL,51.4,0
60,Month-to-month,DSL,63.81,0
20,Month-to-month,DSL,44.41,1
46,Month-to-month,DSL,68.14,0
12,Month-to-month,Fiber optic,62.08,0
55,Month-to-month,No,42.35,0
51,One year,DSL,59.52,0
25,Two year,Fiber optic,69.61,0
4,Month-to-month,DSL,27.15,0
70,Month-to-month,Fiber optic,57.98,0
32,Month-to-month,Fiber optic,41.87,0
65,Month-to-month,DSL,52.13,0
49,Month-to-month,DSL,50.69,0
56,Month-to-month,DSL,45.95,0
55,Month-to-month,No,23.53,0
14,Month-to-month,Fiber optic,86.29,0
26,Two year,No,28.57,0
34,Month-to-month,Fiber optic,63.34,1
36,Month-to-month,Fiber optic,71.77,0
3,Month-to-month,Fiber optic,94.57,1
39,Month-to-month,Fiber optic,77.47,0
11,One year,Fiber optic,65.32,1
54,Two year,DSL,44.47,0
49,Two year,DSL,50.56,0
67,One year,DSL,39.95,0
54,Month-to-month,Fiber optic,63.89,0
26,Month-to-month,DSL,44.86,0
70,Month-to-month,Fiber optic,88.23,1
29,Month-to-month,DSL,54.49,1
23,Two year,DSL,40.09,0
66,Month-to-month,Fiber optic,80.43,0
27,Month-to-month,DSL,45.1,0
5,Month-to-month,No,29.14,1
34,Month-to-month,Fiber optic,73.04,1
58,Two year,DSL,19.68,0
13,Month-to-month,No,-11.57,0
33,Month-to-month,Fiber optic,72.72,1
9,Month-to-month,Fiber optic,59.77,0
50,Two year,Fiber optic,50.33,0
34,Month-to-month,DSL,35.14,0
24,One year,Fiber optic,81.1,0
16,Month-to-month,DSL,49.29,0
41,Month-to-month,Fiber optic,79.26,1
48,Two year,No,30.44,0
68,Month-to-month,DSL,33.97,0
31,Month-to-month,DSL,54.32,0
11,One year,No,32.03,0
60,Month-to-month,DSL,43.59,0
45,Month-to-month,No,25.71,0
51,Two year,Fiber optic,79.51,0
7,Month-to-month,Fiber optic,61.01,0
22,Month-to-month,DSL,58.05,0
56,Month-to-month,Fiber optic,76.78,0
60,One year,Fiber optic,70.03,0
31,Month-to-month,DSL,63.37,0
58,Month-to-month,DSL,29.47,0
61,One year,Fiber optic,64.48,0
28,One year,Fiber optic,61.81,0
65,Two year,Fiber optic,74.3,0
21,Month-to-month,Fiber optic,84.19,0
17,Month-to-month,Fiber optic,58.2,0
49,Month-to-month,DSL,84.67,0
46,One year,DSL,37.05,0
10,Month-to-month,Fiber optic,74.33,1
60,One year,Fiber optic,70.03,0
14,Month-to-month,DSL,45.55,0
58,Two year,Fiber optic,60.49,0
0,Two year,Fiber optic,82.81,0
58,Month-to-month,Fiber optic,59.75,0
57,Two year,DSL,23.77,0
56,Two year,Fiber optic,56.54,0
48,Month-to-month,Fiber optic,87.34,1
34,Month-to-month,DSL,60.01,0
51,One year,DSL,20.91,0
20,Month-to-month,DSL,54.76,0
56,Month-to-month,No,1.22,0
40,Month-to-month,DSL,44.67,0
33,Two year,Fiber optic,55.51,0
36,Month-to-month,Fiber optic,80.69,0
41,One year,Fiber optic,76.66,1
2,Month-to-month,Fiber optic,81.75,0
10,Month-to-month,Fiber optic,66.46,1
17,Two year,Fiber optic,67.7,1
8,Month-to-month,DSL,27.01,0
32,Month-to-month,DSL,32.63,0
48,Month-to-month,Fiber optic,81.38,0
47,One year,DSL,49.41,0
34,Month-to-month,Fiber optic,71.25,0
62,Month-to-month,DSL,60.15,0
41,Month-to-month,DSL,29.4,0
5,Month-to-month,Fiber optic,78.64,1
55,Month-to-month,Fiber optic,55.85,0
41,Month-to-month,No,42.73,0
46,Month-to-month,DSL,51.53,0
41,Month-to-month,DSL,56.57,0
40,One year,Fiber optic,61.58,0
6,One year,Fiber optic,96.19,0
40,Month-to-month,Fiber optic,93.98,0
58,Month-to-month,No,30.16,0
22,Month-to-month,Fiber optic,84.1,1
44,Two year,Fiber optic,66.38,0
2,Month-to-month,No,9.78,1
25,Month-to-month,DSL,54.55,0
31,Month-to-month,Fiber optic,58.97,1
71,Month-to-month,DSL,60.72,0
15,Month-to-month,DSL,57.57,0
20,Month-to-month,No,27.82,0
29,One year,Fiber optic,72.15,0
72,One year,DSL,56.87,0
62,One year,Fiber optic,73.29,0
2,One year,DSL,40.15,0
17,Month-to-month,DSL,26.83,0
59,Two year,DSL,56.51,0
4,One year,DSL,49.4,0
62,Two year,DSL,78.07,0
20,One year,Fiber optic,68.85,1
66,Month-to-month,Fiber optic,73.62,0
21,Month-to-month,Fiber optic,73.91,0
31,Month-to-month,DSL,52.81,1
48,Month-to-month,Fiber optic,58.4,1
9,Month-to-month,DSL,44.07,1
40,Month-to-month,DSL,54.93,0
36,Month-to-month,No,21.01,0
57,Two year,Fiber optic,79.48,0
72,One year,DSL,46.16,0
48,One year,DSL,49.82,0
29,Month-to-month,No,38.81,0
29,One year,DSL,42.27,0
30,Two year,Fiber optic,52.58,0
59,One year,Fiber optic,66.8,0
23,One year,No,15.09,1
12,Month-to-month,DSL,19.49,1
24,Month-to-month,DSL,43.72,1
1,One year,DSL,47.39,0
7,Two year,DSL,57.25,0
6,Month-to-month,DSL,31.33,1
56,Month-to-month,No,,0
52,Month-to-month,No,38.54,0
50,Month-to-month,Fiber optic,63.1,0
33,Two year,Fiber optic,76.43,0
52,One year,Fiber optic,89.17,0
11,Month-to-month,Fiber optic,47.65,1
65,Month-to-month,DSL,48.27,0
36,Month-to-month,DSL,58.95,0
68,Month-to-month,Fiber optic,65.79,0
11,Month-to-month,Fiber optic,86.64,1
36,Two year,DSL,52.61,0
50,One year,DSL,66.23,0
36,Month-to-month,DSL,51.99,0
32,One year,Fiber optic,92.23,0
12,One year,Fiber optic,73.6,0
27,Month-to-month,DSL,,0
17,One year,DSL,37.43,0
22,One year,DSL,57.22,0
49,Two year,No,36.98,0
46,Month-to-month,Fiber optic,66.27,0
44,Month-to-month,Fiber optic,91.65,1
26,Month-to-month,Fiber optic,65.75,1
70,Month-to-month,Fiber optic,75.54,1
6,Month-to-month,Fiber optic,75.21,0
25,One year,Fiber optic,54.03,0
8,Month-to-month,Fiber optic,68.67,0
24,Month-to-month,DSL,73.56,0
70,Two year,Fiber optic,58.93,0
26,Month-to-month,DSL,52.5,0
66,Month-to-month,Fiber optic,56.15,0
36,One year,Fiber optic,58.81,0
51,Month-to-month,Fiber optic,53.03,0
33,Month-to-month,Fiber optic,81.29,0
19,One year,Fiber optic,59.54,0
55,Month-to-month,DSL,60.21,0
70,Month-to-month,No,18.62,0
19,Month-to-month,Fiber optic,71.54,0
56,Two year,Fiber optic,74.94,0
19,Month-to-month,Fiber optic,50.6,0
52,One year,DSL,47.44,0
57,Month-to-month,Fiber optic,74.2,0
32,One year,Fiber optic,83.68,1
53,Month-to-month,DSL,33.49,1
19,Month-to-month,DSL,35.2,1
5,Month-to-month,DSL,52.91,0
7,One year,Fiber optic,86.95,1
32,Month-to-month,Fiber optic,62.89,0
65,Month-to-month,Fiber optic,55.18,1
9,Month-to-month,DSL,41.2,0
33,Month-to-month,DSL,32.84,0
51,One year,Fiber optic,74.77,0
14,Month-to-month,DSL,32.04,1
52,Month-to-month,Fiber optic,81.67,1
22,Month-to-month,DSL,47.55,0
59,Month-to-month,Fiber optic,82.05,0
42,Month-to-month,Fiber optic,40.92,1
39,Month-to-month,Fiber optic,48.9,1
12,Month-to-month,DSL,60.51,0
33,Two year,Fiber optic,61.37,0
62,Month-to-month,Fiber optic,52.4,0
1,Two year,DSL,42.57,0
55,Month-to-month,DSL,47.91,0
35,Month-to-month,DSL,43.1,0
52,Month-to-month,DSL,50.62,0
48,Month-to-month,DSL,48.99,0
31,One year,DSL,48.36,0
22,Two year,Fiber optic,86.18,0
45,One year,Fiber optic,69.83,0
10,One year,Fiber optic,69.48,1
42,Month-to-month,Fiber optic,79.63,0
6,Month-to-month,Fiber optic,76.63,1
47,One year,Fiber optic,59.17,0
45,Month-to-month,Fiber optic,68.89,0
6,Month-to-month,DSL,50.26,0
55,Two year,DSL,37.96,0
30,Two year,DSL,38.53,0
57,One year,No,8.3,0
3,Month-to-month,Fiber optic,35.41,1
13,Two year,Fiber optic,65.51,0
36,Month-to-month,Fiber optic,71.53,0
13,Month-to-month,DSL,31.86,0
24,Month-to-month,Fiber optic,86.53,1
48,Two year,DSL,32.44,0
10,Two year,Fiber optic,,1
49,One year,DSL,50.02,0
7,Month-to-month,DSL,71.12,0
12,Month-to-month,Fiber optic,76.48,1
42,Month-to-month,DSL,27.64,0
57,Two year,DSL,57.65,0
12,Month-to-month,DSL,65.37,0
21,Month-to-month,DSL,23.73,1
67,One year,Fiber optic,77.67,0
72,Month-to-month,Fiber optic,80.32,1
42,Two year,DSL,42.45,0
32,Month-to-month,Fiber optic,40.94,0
25,Two year,Fiber optic,66.45,0
44,Month-to-month,Fiber optic,63.03,0
43,Month-to-month,DSL,63.36,0
21,Month-to-month,Fiber optic,68.94,1
1,Month-to-month,No,20.05,0
11,One year,Fiber optic,62.96,1
69,Month-to-month,Fiber optic,73.91,1
30,Month-to-month,Fiber optic,70.68,1
35,One year,Fiber optic,60.52,1
34,Month-to-month,Fiber optic,73.17,0
57,One year,DSL,38.31,0
4,One year,Fiber optic,38.89,0
6,Month-to-month,Fiber optic,78.02,1
20,One year,Fiber optic,76.88,0
35,Month-to-month,Fiber optic,72.4,1
48,Month-to-month,No,19.69,1
35,Month-to-month,Fiber optic,69.14,0
32,Two year,DSL,54.83,0
68,One year,Fiber optic,62.42,0
11,Month-to-month,Fiber optic,80.32,0
41,Two year,DSL,27.3,0
39,Month-to-month,Fiber optic,72.02,1
34,Two year,DSL,45.31,0
58,One year,DSL,57.03,0
19,Two year,Fiber optic,58.97,1
69,Two year,No,15.28,0
24,Two year,Fiber optic,53.27,0
39,Month-to-month,No,18.2,0
38,One year,No,28.07,0
62,Two year,Fiber optic,48.43,0
32,One year,Fiber optic,64.69,1
20,Month-to-month,DSL,52.33,0
1,Two year,Fiber optic,68.77,1
26,Month-to-month,DSL,45.9,0
60,Month-to-month,Fiber optic,51.93,0
0,Month-to-month,Fiber optic,68.8,0
65,Month-to-month,DSL,45.34,0
39,One year,DSL,43.04,0
10,Month-to-month,DSL,46.83,1
22,One year,DSL,41.29,0
40,Two year,Fiber optic,64.53,0
23,Month-to-month,Fiber optic,57.52,1
7,One year,Fiber optic,81.69,1
48,Month-to-month,Fiber optic,55.28,1
49,Two year,Fiber optic,71.9,0
